gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
CYP11B1	1.812005132706323e-73	-5.417911678389143	0.75	1	6.011689428779767e-69	-0.25
CYP17A1	2.3471441172427885e-66	-4.8240412063925415	1	1	7.7871200377764e-62	0
MT2A	1.2122414949537425e-16	-4.081895060646258	1	1	4.0218536078080316e-12	0
GML	1.2839082178576422e-60	-3.7375813081280844	1	1	4.259622294386299e-56	0
MEG3	9.770973343563103e-26	-3.719570455457121	1	1	3.241715826193931e-21	0
HSD3B2	3.210082130232598e-70	-3.606496928721409	0.75	1	1.0650089483472691e-65	-0.25
SCARB1	1.0415142169312822e-26	-3.5816506281690974	1	1	3.455431717512915e-22	0
STAR	1.02054949514515e-47	-3.508474869573399	1	1	3.385877060043064e-43	0
DHCR24	2.9956433296161376e-49	-3.3701335638314833	1	1	9.93864587466746e-45	0
CYP21A2	8.083689443440486e-41	-3.3110416481602094	0.75	1	2.68192564665025e-36	-0.25
RARRES2	1.7766959140469332e-51	-3.309004064147448	1	1	5.89454403403351e-47	0
APOE	1.2939459018143595e-9	-3.2673264518785508	0.75	1	4.2929243184495004e-5	-0.25
PEBP1	5.083105595924025e-52	-3.2623806613099644	1	1	1.6864219435597138e-47	0
SEMA3B	5.122182904703895e-27	-3.205745792922184	1	1	1.6993866222936112e-22	0
AKR1B1	1.6308346412627357e-39	-3.1631815581067686	1	1	5.410620089317379e-35	0
CDH19	7.235363634856298e-8	-3.1602039156284243	1	1	0.002400476593136274	0
FDX1	5.299248339887986e-35	-3.1516526693295335	1	1	1.7581316217246373e-30	0
CYP11A1	3.0393194307347646e-34	-3.124884353094955	1	1	1.0083550075348728e-29	0
NOV	1.196451038710769e-29	-3.096446987729008	0.5	1	3.9694656111307183e-25	-0.5
AL117190.1	6.272290092399903e-11	-3.060319446714123	1	1	2.080957683955516e-6	0
GSTA4	7.868444417607831e-32	-2.939008052505491	1	1	2.6105138044297503e-27	0
MT-CO3	3.347545865279846e-29	-2.897651889820777	1	1	1.1106152917238945e-24	0
